"","Data_Status","State","MSN","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","gp_06","gp_07","gp_08","gp_09","gp_10","gp_11","gp_12","gp_13","gp_14","gp_15"
"42","2015F","SD","MGTCD",20.58,22.86,25.71,19.12,22.9,29.17,29.8,29.06,27.79,19.94,2.54359,2.80579285714286,3.13784428571429,2.32216952380952,2.76871904761905,3.51984666666667,3.59231904761905,3.5024219047619,3.34803333333333,2.40229523809524
"43","2015F","TN","MGTCD",19.89,21.75,25.69,18.2,21.84,27.82,28.42,27.72,26.5,19.02,2.45830928571429,2.66955357142857,3.13540333333333,2.21043333333333,2.64056,3.35694666666667,3.42596333333333,3.34092,3.19261904761905,2.29145714285714
"44","2015F","TX","MGTCD",19.95,21.74,25.38,18.18,21.66,27.66,28.14,27.36,26.05,18.26,2.465725,2.66832619047619,3.09756857142857,2.20800428571429,2.61879714285714,3.33764,3.39221,3.29753142857143,3.13840476190476,2.19989523809524
"45","2015F","US","MGTCD",20.38,22.28,25.99,18.93,22.59,28.56,29.41,28.6,27.48,20.21,2.51887095238095,2.73460476190476,3.17201761904762,2.29909357142857,2.73123857142857,3.44624,3.54530547619048,3.44698095238095,3.31068571428571,2.43482380952381
"46","2015F","UT","MGTCD",20.44,22.45,26.28,19.23,23.53,29.02,29.78,29.19,28.47,20.81,2.52628666666667,2.75547023809524,3.20741142857143,2.33552928571429,2.84488904761905,3.50174666666667,3.5899080952381,3.51809,3.42995714285714,2.50710952380952
"47","2015F","VA","MGTCD",19.98,21.62,25.57,18.36,21.94,27.89,28.57,27.9,26.87,19.12,2.46943285714286,2.65359761904762,3.12075761904762,2.22986571428571,2.65265047619048,3.36539333333333,3.44404547619048,3.36261428571429,3.23719523809524,2.30350476190476
"48","2015F","VT","MGTCD",20.87,22.85,27.15,19.71,23.6,30.26,31.28,30.52,29.33,20.73,2.57943261904762,2.80456547619048,3.31359285714286,2.39382642857143,2.85335238095238,3.65137333333333,3.77072952380952,3.67838666666667,3.53356666666667,2.49747142857143
"49","2015F","WA","MGTCD",21.93,24.06,27.93,21.19,24.71,30.51,31.47,29.92,29.24,22.34,2.71044357142857,2.95307857142857,3.40879,2.57357595238095,2.98755666666667,3.68154,3.79363357142857,3.60607238095238,3.52272380952381,2.69143809523809
"50","2015F","WI","MGTCD",21.08,23.31,26.52,19.6,23.25,29.61,30.25,29.5,28.21,20.24,2.60538761904762,2.861025,3.23670285714286,2.38046666666667,2.81103571428571,3.57294,3.64656547619048,3.55545238095238,3.39863333333333,2.43843809523809
"51","2015F","WV","MGTCD",20.79,23.13,27.3,20.06,23.69,30.1,30.84,30.12,29.01,20.64,2.569545,2.83893214285714,3.3319,2.43633476190476,2.86423380952381,3.63206666666667,3.71768857142857,3.63017714285714,3.49501428571429,2.48662857142857
