"GEOID.msa","name_msa","revenue_miles","revenue_hours","fares","upt_total","upt_bus","upt_rail","total_expenses","average_speed","avg_fare","farebox_recovery","upt_bus_chg","upt_rail_chg","upt_total_chg","revenue_miles_y06","revenue_hours_y06","fares_y06","upt_total_y06","upt_bus_y06","upt_rail_y06","total_expenses_y06","average_speed_y06","avg_fare_y06","farebox_recovery_y06","upt_bus_chg_y06","upt_rail_chg_y06","upt_total_chg_y06","revenue_miles_y15","revenue_hours_y15","fares_y15","upt_total_y15","upt_bus_y15","upt_rail_y15","total_expenses_y15","average_speed_y15","avg_fare_y15","farebox_recovery_y15","upt_bus_chg_y15","upt_rail_chg_y15","upt_total_chg_y15","revenue_miles_y16","revenue_hours_y16","fares_y16","upt_total_y16","upt_bus_y16","upt_rail_y16","total_expenses_y16","average_speed_y16","avg_fare_y16","farebox_recovery_y16","upt_bus_chg_y16","upt_rail_chg_y16","upt_total_chg_y16"
"18140","Columbus, OH",0.682420464134661,0.669110131829854,0.54297300012868,0.279363314784912,0.279324211054003,NA,0.695759148748449,0.112101625334159,0.191637499498093,-0.0183868804424889,NA,NA,NA,10549266,750437,14182475,15248917,14841320,NA,69496637,14.0574971649852,0.930064410475839,0.204074263334498,NA,NA,NA,17748301,1252562,21883176,19508905,18986860,NA,117849558,14.1695987903194,1.12170190997393,0.185687382892009,0.114587377731734,NA,0.121217546229112,18428361,1307477,21016998,19123003,18615894,NA,130792502,14.0945966927143,1.09904276017736,0.16068962424161,0.0928105267322725,NA,0.0990389517090763
"19100","Dallas-Fort Worth-Arlington, TX",0.176424779433241,0.193207330274479,0.678638535309886,-0.0590566634970564,-0.274451073933247,0.676435087201133,0.399478989701317,-0.221245618180337,0.45717579625351,0.0255978923633252,NA,NA,NA,55610941,3535311,51028514,87507077,66683707,18581066,397644347,15.7301411389267,0.583135853115057,0.128327019823068,NA,NA,NA,65422089,4218359,85658430,82339201,48382292,31149951,556494909,15.5088955207463,1.04031164936857,0.153924912186393,-0.0124091303288342,0.750077278814885,0.176290247134922,66079249,4292722,83465840,78663691,44937186,30998718,583880960,15.3933213005641,1.0610465761135,0.142950097225297,-0.0827314546752986,0.741580654306326,0.123782249562212
"19740","Denver-Aurora-Lakewood, CO",0.117926166169356,0.154525331700324,0.80102282630942,0.18375315827598,0.0199912251570212,1.26271556071611,0.474848469005344,-0.476092442328969,0.408520968847442,0.046860480868802,NA,NA,NA,54027916,3597449,67822659,86571361,74022977,11277855,320088805,15.0183966471797,0.783430665945058,0.211887007419707,NA,NA,NA,60399221,4153346,122150157,102479122,75502787,25518578,472082484,14.5423042048507,1.1919516347925,0.258747488288509,-0.00873583955924902,0.270356734256531,0.0504447833294543,63222267,4320436,137113350,103567798,77569757,24585082,522072367,14.6333071477045,1.32389944217989,0.262632843005843,0.0184010829719182,0.223885769847717,0.0616040712177324
"19820","Detroit-Warren-Dearborn, MI",0.0754684122147916,0.143556736388087,0.122835771016295,-0.246907097289813,-0.299127547274266,0.066879586673478,-0.223750326353443,-0.858727801768966,0.358471301985966,0.0566038412705243,NA,NA,NA,34377893,2383629,38148863,52249057,48496152,2307909,300916084,14.4225015721826,0.730134957268224,0.126775752538372,NA,NA,NA,36972338,2725815,42834908,39348394,33989617,2462261,233586012,13.5637737704136,1.08860625925419,0.183379593808896,-0.302594975057076,0.139176197349915,-0.249129541508563,38409103,2863126,43341195,41999970,36896824,2304648,247310049,13.415093502696,1.03193395138139,0.175250440389505,-0.24294438322048,0.0662558294470353,-0.198530523748273
"24340","Grand Rapids-Wyoming, MI",0.38800494378632,0.381847511842266,1.47865444113339,0.646744526644276,0.664822727039093,NA,0.610969338933156,0.0616212354673547,0.279907156490984,0.0732814746257554,NA,NA,NA,7012439,507082,4247722,7666412,7140147,NA,31220277,13.8290039875208,0.554069100382291,0.136056512246832,NA,NA,NA,9733300,700710,10528635,12624622,11887079,NA,50294909,13.8906252229881,0.833976256873275,0.209337986872588,0.244806212282083,NA,0.233284417285216,9701950,704187,10986178,12110483,11381159,NA,48654961,13.7775193237024,0.90716266229844,0.225797694093311,0.191826640183862,NA,0.183058785419279
"25540","Hartford-West Hartford-East Hartford, CT",-0.0646377557937567,0.0379104604628789,0.0816302363215797,0.119254305577105,0.144874481190836,NA,0.849163652193641,-1.53837159915273,-0.0372759108617384,-0.123154868741082,NA,NA,NA,21589317,1386583,30602876,27597578,26129550,NA,103141300,15.5701584398482,1.10889716481642,0.296708263324197,NA,NA,NA,20193832,1439149,33100996,30888708,29915055,403766,190725143,14.0317868406954,1.07162125395468,0.173553394583115,0.0979162201362933,NA,0.0807053729082806,22969582,1684903,32846062,31175143,30175417,437724,215417142,13.6325841903065,1.05359779745036,0.152476547107843,0.107471798854338,NA,0.0907268941544584
"26420","Houston-The Woodlands-Sugar Land, TX",0.257407381786135,0.260613913271322,0.426326735079068,-0.145349186315104,-0.335818418016452,1.17690770397254,0.595951808613897,-0.0412833101724885,0.36699351126285,-0.0187416391922689,NA,NA,NA,61942163,3816500,56805783,103536947,89003808,11370121,322147862,16.2300964234246,0.548652289312722,0.176334502570748,NA,NA,NA,77886533,4811133,81023607,88487936,59114690,24751704,514132463,16.1888131132521,0.915645800575572,0.157592863378479,-0.121854847185379,1.33148296976006,0.0770447860006083,80127121,5189378,76088771,92405285,59997427,27948813,529341132,15.4406021299662,0.82342445023572,0.143742411840386,-0.108741842317044,1.63263416266244,0.124725413508913
"26900","Indianapolis-Carmel-Anderson, IN",0.180037409041036,0.138515808324071,0.37548616199432,0.0095213966828001,0.00254620663312654,NA,0.473555315785178,0.52570596717022,0.301649169224053,-0.0125531622751263,NA,NA,NA,9337315,647760,8506681,10223080,9854267,NA,45099631,14.4147755341485,0.832105490713171,0.188619747243608,NA,NA,NA,11018381,737485,11700822,10320418,9879358,27909,66456801,14.9404815013187,1.13375465993722,0.176066584968482,0.138511060351115,NA,0.152623122135242,11252316,765447,11730655,9868087,9393474,42838,71516842,14.7003202050567,1.18874661319869,0.16402646805909,0.0825171072979268,NA,0.10210509375126
"27260","Jacksonville, FL",-0.17570014123642,-0.0611917466158497,-0.43187679756444,0.168515822891659,0.137100458405803,1.06979198781877,0.129472463494932,-2.09262076521845,-0.929817569411307,-0.128395363531564,NA,NA,NA,16318029,951125,21117115,11669106,10489396,635732,81741528,17.1565556577737,1.80966005450632,0.258340105900638,NA,NA,NA,13450949,892924,11997123,13635535,11927497,1315833,92324805,15.0639348925552,0.879842485095011,0.129944742369074,0.0899341415524851,1.7973294443535,0.156249915203187,13600506,903886,12955529,13630732,11802421,1186358,94415955,15.0467050048347,0.95046465589669,0.137217581498805,0.0785047022754248,1.52207853499976,0.155842636109061
"28140","Kansas City, MO-KS",0.0869963064920904,0.0868103131952605,0.280817269391162,0.0850517593223086,0.0792790915506019,NA,0.377656471402691,0.00260105251017961,0.119888814608913,-0.00931903266699004,NA,NA,NA,13088912,861188,10102128,15202672,14579216,NA,76199531,15.1986697445854,0.664496872655017,0.132574674245698,NA,NA,NA,14227599,935948,12938980,16495686,15735043,148205,104976777,15.2012707970956,0.784385687263931,0.123255641578708,0.0419273464424453,NA,0.0490276499978791,14469023,936892,12394210,15280044,14511190,137304,109228215,15.4436402488227,0.811137062170763,0.113470773096493,-0.039112527978338,NA,-0.0282799606403642
